RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1689.8258248339685,1701.7631600268267,1717.9222853212832,1732.5568645391854,1748.8610794284518,1759.1223621526303,1772.4540120200102,1781.3503643415336,1794.2823551370627,1798.8951999177739,1806.0409108122374,1812.9318419804492,1824.485132711156,1835.9209264647707,1849.25326886338,1860.9923295831252,1874.3242907313468,1884.8731563820854,1897.2179744195248,1904.249838175139,1910.3619770520763,1912.0555777474021,1913.2469022556045,1917.4819100327152,1932.059864209423,1948.8829030247996,1969.8187797751518,1981.9672856143886,1997.5345192861853,2006.3250781319605,2017.846103754043,2022.976770265422,2028.7651915385366,2030.0032431239492,2033.9892552294011,2039.1951875868283,2049.7813817460815,2064.2410862306187,2074.52576280603,2084.0275489703395,2092.089784738037,2105.4292509128254,2117.515951352821,2127.6289326678316,2131.918625126337,2135.3294128595694,2140.0742356163005,2145.291401969277,2150.8106657625976,2154.69690143035,2167.7116607157377,2180.1110795304235,2193.7162282684876,2202.9232199941516,2210.7712243327614,2216.3608530122183,2219.362269261538,2220.4155501104856,2221.7522267906893,2224.6286057954408,2230.7065430442017,2235.399268520958,2235.857535715914,2228.359615159061,2221.785332169641,2219.0269044987085,2220.915707959382,2219.569564102444,2213.6614961344103,2208.4745693808372,2206.254915203861,2204.2984569874693,2211.104536937585,2218.079746427037,2229.057654360108,2237.9767695390296,2254.6696851535,2284.3923197293843,2320.207501402668,2360.6872336690494,2391.1879458387784,2412.218034017253,2424.048779757925,2441.0051360896728,2459.5678154575317,2484.5916062020037,2506.749387869079,2532.758903538653,2554.1070834076995,2574.372641864429,2593.7230473549284,2609.5897729607323,2619.594879785629,2617.288230101732,2613.6469553669913,2609.4686124137256,2611.7665188303613,2618.6220087470674,2632.8613915223755,2642.7389365545146,2650.2269357509276,2653.3906374271633,2659.709892001934,2665.4543639470367,2666.3387366633183,2663.6122022357,2655.105500393099,2649.8756688194912,2653.2085411701714,2662.718194491222,2676.196399016774,2687.074912608708,2698.0129236760813,2707.150214683041,2716.6531848331956,2721.4348519837354,2726.343968330984,2723.958088363406,2720.7969236834833,2714.9086036144563,2737.1291078978493,2760.6459874266448,2784.493855676004,2781.303473974747,2783.7736931151853,2785.991155268058,2790.526918418997,2791.479802144521,2792.55795942145,2789.7748751732934,2782.1513458700115,2771.997035316324,2773.9052082249964,2780.781948782109,2793.5376185551245
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1445.605077119053,1454.8521519367384,1466.0770628285136,1475.592560197714,1486.6129399309775,1497.349535148355,1502.925364475551,1505.9347563942108,1500.4968174176813,1492.2341570104843,1482.859482183488,1482.3587276825615,1491.8956029165429,1504.2877204480394,1516.7956841244475,1524.9361217845526,1533.2741778289976,1542.162445934649,1549.23218885993,1554.0138047886364,1546.9386454961348,1535.8490466979456,1521.1866648532152,1514.3343725263624,1520.4930208745275,1536.3438574332517,1556.55148095177,1571.0171146891464,1582.6505489349856,1589.2765128253263,1591.1676587383658,1586.2463530619686,1578.840236963313,1565.6899504101264,1556.0708709955038,1553.4522808447218,1563.1209206854141,1577.627168486015,1590.599264498446,1601.6372957351375,1612.2015907434777,1622.6129233028355,1628.1257952519727,1624.9888939605908,1611.6987972616885,1597.7417409897664,1588.7846586384792,1589.5378754582448,1599.0888755352025,1610.972531233378,1628.90854662115,1643.5366932390707,1657.0647479823376,1664.3487725980822,1667.2633069114704,1667.5745593152935,1662.0348607672754,1654.2774444775177,1644.7825405267008,1638.688211506362,1647.9824253546976,1661.0771692355086,1677.0169390010897,1678.0909448016525,1676.6358014867096,1673.6500614571846,1671.298181319194,1662.77158664514,1643.507937485676,1616.586831671359,1593.9039950557883,1585.8178034849273,1589.0803465262932,1602.5447782972408,1620.578178464858,1648.2132453388049,1676.448280629498,1702.3428139776327,1720.4428220799432,1731.3265701859307,1735.8405260916277,1733.5680704175807,1731.9962784055174,1737.0776643292768,1751.9475472305162,1769.9360203177177,1792.1327372293629,1816.7123965138887,1843.2621074043234,1864.0549188165776,1879.9359533786721,1886.946165077351,1885.972282991685,1880.4171253610737,1875.250248111,1877.2209289730479,1886.0588723022158,1901.8000743248751,1920.3625655516234,1940.1732849256302,1962.1720442156259,1980.4782612863519,1992.059791868126,1997.1593175933783,1991.6430554166914,1980.6088917819231,1971.5137192937555,1973.0859619707458,1984.4606857798365,2001.521199877959,2018.8833741517228,2039.8487025776021,2057.205307123318,2073.3409151083306,2081.023879411318,2082.176586192752,2077.639182210478,2073.6310312303544,2072.2453132724127,2075.4080451488294,2085.9775400342296,2105.1050380817305,2128.802198941321,2153.27054953218,2175.891711921072,2196.888668178582,2208.3268857284756,2212.349503949663,2209.2707152114353,2201.604643135054,2195.4700656102664,2192.535577961199,2207.1664902533953,2228.8382197301344,2256.2656473711822
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1170.9941170139925,1173.3803218262085,1178.7219792443807,1189.698721743396,1199.8452984792843,1208.713857939427,1208.6319559870515,1210.0536641489996,1208.3052935715098,1206.4374896936504,1203.1396103690759,1200.5827944370467,1201.3865437481431,1203.0782051230974,1208.5001573764457,1213.8214405896365,1217.2530124013674,1218.5924513214486,1217.3153871975594,1214.811608083735,1209.775243074599,1206.646893634291,1201.4176195595303,1198.9662860826284,1199.3578051599927,1207.1248037044495,1215.7521042546848,1220.3486883970363,1227.3597333287537,1228.1466918797582,1228.5137158784678,1223.6366112355227,1230.6105262736162,1239.0269745630844,1250.5704660569713,1257.336647468436,1259.639417531282,1265.780407132377,1266.4721693720492,1274.4760335315984,1276.5555297264495,1281.5270534893189,1280.6925300825553,1278.6604420537844,1275.1862131219798,1275.8306637606138,1278.044389723892,1278.0567967925815,1277.6743311954401,1274.638292187092,1280.5940138074943,1286.1312532690747,1296.6281404123836,1303.2602680690063,1307.2190436741755,1306.8341844235656,1303.2759825299117,1301.8765330072254,1300.5224923027522,1303.9415210077127,1306.883721410203,1312.9599157843802,1318.9344387170065,1315.8397463988456,1310.9854823714577,1306.1270547045087,1310.4839514111934,1314.3086891764574,1313.609908187784,1313.6793474106921,1313.5465298159834,1313.1006915399237,1317.0771017345403,1320.3170967204148,1329.2728719665017,1341.294433885699,1360.7060577583552,1386.86840100198,1410.2935753253307,1431.9489795866775,1443.773740642043,1450.5228517795747,1453.3726562386594,1455.9627203082734,1461.569479828707,1471.4375294866222,1482.405638935868,1493.8061417745196,1504.8230614034023,1518.9581916514258,1530.988953096381,1537.8153251629067,1535.6334259662246,1529.7538086321895,1521.5228436835548,1519.1778427339211,1522.1729670657471,1530.2017769573094,1541.2322082372436,1546.5359268788295,1554.569581445212,1561.232478321063,1567.5617873084238,1569.1186165351314,1564.455300454707,1559.6317388150221,1554.2552078898875,1553.3145742135941,1554.9268553629508,1559.2105398831852,1562.1443856267856,1568.667543892237,1575.793240168537,1583.573870691719,1587.4387348873406,1590.914033908546,1592.1892125773288,1590.7670111248392,1585.6454193040975,1582.0525196066171,1581.8379699071675,1585.4829465706136,1594.1809622355183,1599.8161425212122,1602.8009292743243,1595.9358821562691,1596.9780771333178,1596.286490569249,1598.6895081862754,1592.015635125664,1584.5365825875294,1578.3301122750113,1576.4809080752239,1574.6627780180675,1576.7838829912646
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,914.5575022111534,929.0180211674192,936.0113661236431,948.8976071667315,949.334985325356,957.270746720131,957.4686364051963,958.7960758968821,961.6155556608439,964.1355348469098,967.7953716381529,969.2248307009995,974.4138979819021,978.9164778192031,985.928112963543,992.7404204570805,1000.7262028875518,1007.6741872809846,1011.6726559788109,1013.5926844897366,1014.6117297914691,1014.1227527075386,1015.6260359987506,1016.545177773564,1023.1597781778158,1031.2329739637269,1042.5514882845393,1051.8948594232975,1061.3973420765803,1067.5573389555725,1072.5167889276488,1074.6481937411236,1077.3260877105683,1078.848879317185,1081.8657973159181,1084.3664710017683,1089.419819727714,1095.4260705947545,1107.1966932026444,1120.512923424653,1131.5549089948959,1139.5379728269086,1146.6672885291694,1152.481482170356,1157.5921381934354,1160.863672690403,1166.3088053895106,1171.9947994881516,1175.878968012851,1184.4547466646513,1194.4743721934933,1209.6352927027915,1220.7778841627442,1231.1153490384709,1238.6098905749009,1245.5476374765492,1249.7400862892237,1252.8937426352159,1257.8799325929513,1265.5837838309956,1274.8560868038253,1284.6119329107578,1290.874077923565,1290.9003835006881,1290.0644468915007,1294.1583095255896,1308.0707355740897,1324.1073800048173,1339.5725113122537,1353.201631443931,1365.704606573438,1375.646138068904,1387.7803339627949,1401.406811424364,1423.6847180721768,1451.2757356437605,1489.1115370591076,1532.7297457264458,1579.539952815667,1621.5292626806222,1651.9218188391233,1672.5866160897642,1684.0967884417712,1693.1023732936221,1701.658053604617,1712.5827862282222,1726.3987526603999,1737.9693554811183,1746.1370498546642,1752.509862316116,1757.536965031179,1758.1966522211403,1749.2826178725743,1737.5290611572846,1726.2047189723728,1721.6683921798333,1719.5319854176612,1725.1516962235316,1738.7353056705965,1745.3761946123263,1749.3423899808079,1745.9949841626735,1750.750488413988,1750.2180734503997,1746.9073629603101,1737.1819381934986,1727.916322836163,1720.6625432485357,1722.2390497322076,1730.0943694575706,1738.5455496279214,1745.747770442179,1750.0315773972138,1753.3248538697283,1755.1134126535583,1754.1478562977204,1750.6609436933861,1741.2919743267294,1732.458299984948,1725.5983209788703,1727.5788998906744,1735.7353406744771,1744.1419263104906,1748.1679501516726,1747.0192529771366,1745.8994591240387,1744.2466544285528,1739.9282736825114,1736.3049028852327,1729.3573320725557,1720.5618593941601,1715.215394275663,1715.5581391766407,1722.8972558402618,1728.4450334001895
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1594.0506514158885,1604.4883300209833,1613.1329055951576,1616.8064326548065,1627.3818701733185,1635.422279090645,1651.1463159328669,1661.3737597855952,1669.791083291573,1672.6454388259328,1671.9543821173072,1677.4956298664442,1683.1854015798099,1691.1971679062883,1700.22631553062,1709.2416454063796,1721.633192794674,1736.0531727283349,1748.2478797381868,1756.0433582911778,1758.8512314877182,1761.1839205788192,1761.7049392658969,1763.8244504154832,1769.3786133847905,1784.8462124985908,1803.3640668187093,1822.1750487417546,1836.8120314141909,1847.9183987283423,1858.6424893717772,1864.4613728996223,1866.5155114254283,1865.8686097483487,1866.1238574355596,1868.2224225826394,1878.4318878242605,1889.2384025069603,1903.354194007424,1914.1071466623844,1929.8910077926641,1941.09942845866,1952.1732300690385,1958.8367025039804,1963.3729806762658,1962.2623961613567,1957.0838526270988,1959.4416604703822,1963.894429021435,1971.7128091091427,1977.6104714694175,1987.2458044152413,1999.7533130591855,2011.6410824174154,2023.3373491221935,2030.3021749264167,2031.5476416364802,2030.8163273089972,2031.295071626507,2035.7016612279488,2040.8214663791032,2045.4458923798836,2048.6615867734145,2041.8915140298957,2036.1053012473185,2035.379616448176,2046.4212276857954,2055.6956112113767,2068.1558603777785,2082.200207315514,2095.934801689816,2105.0214463666293,2112.582849905216,2123.48863210037,2139.6614127405587,2166.155271484706,2201.037014213148,2238.9038449375057,2286.2518889296566,2336.3783422343367,2387.9699058471697,2419.2188781006157,2439.782425331426,2453.9737779407906,2472.1519364946366,2498.4618468651383,2528.592351287013,2570.465468083808,2612.5942120432724,2656.0426353987555,2686.7521914594863,2710.1532079333515,2714.46943883773,2708.0671652078117,2690.3576093988822,2681.2815242196216,2676.472593010923,2685.1135875025575,2709.887694591202,2738.256768613791,2769.169576355693,2787.8648163064136,2804.5886839021773,2810.6526705953765,2808.464903535601,2795.4483648831165,2773.5147447585014,2755.1295966858015,2747.896113731605,2757.25159250335,2773.4226048955984,2791.9020787691975,2809.0163315525056,2824.3819006840286,2835.465974261715,2837.798031705155,2836.572768727237,2833.411347014312,2830.374936681403,2823.6104897488813,2825.3108611364314,2833.2135162612067,2849.5429720971283,2860.0328092949576,2870.108057643018,2880.106700118817,2885.4728235262683,2891.367608751562,2888.561216768951,2884.6325675002977,2869.433488873262,2861.794718998537,2864.4815136348543,2877.890526047851,2889.899307467977
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1839.427216651966,1849.0839148543942,1860.1706729650055,1875.9626875407034,1887.5276687843739,1899.4439018603844,1909.4398407266974,1922.1531295977204,1925.1115966467146,1930.4141455259598,1929.1668700231849,1932.6360537701617,1937.3775534485842,1945.7992202457317,1951.7988320207278,1959.986939109612,1973.4960346920502,1990.8209390423478,2000.3630487445091,2002.731077526561,2004.3251541284246,2001.3674528226206,2006.9580199348543,2002.729636792839,2013.1525136163311,2024.9514729898794,2048.737831050714,2066.1519412512857,2073.847400490027,2083.8154820824884,2090.017425130246,2096.7342956951716,2097.8036393869356,2094.4401468650703,2097.420659563604,2099.3931150450526,2110.26685177445,2115.1326731251065,2126.2213043658576,2132.8567068667353,2141.394378466606,2148.3878556095665,2153.4754923723654,2155.2238814650323,2156.1137995331087,2159.2176248500596,2165.355089834853,2166.1565647579937,2169.4091574179665,2173.9871039616805,2185.061224285096,2191.2633762091414,2203.5697813032884,2212.413659381657,2223.1523973341164,2224.3783902881823,2224.544231397119,2224.97862067615,2229.705634285773,2233.077579460569,2241.2824417498473,2247.241738021682,2251.37895588025,2236.65118173991,2223.2585018683353,2215.364076019525,,2230.294789610316,2243.3687026584166,2256.3737766865365,2265.7827410075947,2273.18326044362,2287.0661212672208,2306.7375893371395,2329.034614753781,2349.2722458467492,2376.360799272055,2421.597543101178,2489.3115699319656,,2642.0921913035004,2682.2487473577653,2704.489205465388,2715.25381937555,2733.397403265836,2752.064577638844,2779.5039127223276,2813.076869417624,2842.428433319304,2872.976470517102,2890.9875386781528,2900.8136365670043,2894.8075501459116,2881.791440235486,2874.4778331708085,2859.31982804648,2851.653845832944,2845.245167650153,2857.6503666065737,2869.867583306506,2887.332724325244,2906.4603866262514,2938.7759204695667,2964.159295058491,2976.1543183060426,2974.6016613508086,2966.1712957026784,2966.668897349754,2965.00601085711,2969.258922595413,2967.6516285567873,2973.435516963861,2983.3852807504672,3001.458769686375,3021.294458976921,3036.5277935393024,3043.393443096371,3042.9386427367613,3036.239106263235,3029.271496158678,3035.11405032223,3048.3677426765134,3068.242955984792,3080.7120125281226,3091.9883848597333,3104.423897075582,3108.5466380325315,3117.899153931476,3122.0600287174057,3123.190834882639,3121.046656545925,3117.019057102814,3120.454554216562,3127.273382592945,3141.4127756022244
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2250.0872427722306,2267.888256122722,2293.211608309599,2312.700247226325,2334.7723932300637,2364.0655577565467,2380.3728876959585,2391.183903170442,2405.987069688315,2415.13271389638,2405.428398516104,2380.4993763820053,2370.086562761994,2373.049827561804,2389.171223015594,2395.3460733134093,2405.9227533266385,2416.914996802858,2435.238212065773,2450.4599842393563,2456.9318382354577,2453.5154852378837,2455.4857590530933,2442.1509907651553,2432.4575158177836,2421.963799934124,2428.0237227519096,2443.3533657409216,2456.347508492689,2471.747067746009,2487.6301104673767,2499.8453304842806,2498.991231314479,2482.3468208380573,2463.713337048615,2452.568567399781,2451.5953756219424,2452.544616713582,2465.6493218623345,2483.2115745175106,2502.742960593734,2517.4222687544766,2528.614792283968,2539.499296825091,2541.5226857124976,2533.0530335221833,2518.7025763805646,2501.651227248036,2503.1422967798494,2516.3842387423606,2543.0706990836998,2561.6894639038896,2585.8096606404774,2601.6006515557874,2626.0690652197713,2641.255627862112,2655.7373002518066,2658.738553553562,2655.385956154692,2648.4974592663175,2648.1215256270852,2656.57499037145,2671.649684329731,2664.714213385585,2647.6555274731436,2616.7580460473623,2594.681443579574,2558.222790900943,2511.913214940831,2467.2995103353433,2433.7708356452767,2415.1767560769395,2407.788631125511,2417.053495396222,2438.529933161159,2470.93858093372,2508.847909550039,2560.665361289002,2616.368447316684,2671.3333016510674,2716.7756158144307,2741.9755589835468,2762.1742970784867,2773.675148067181,2805.3632161627143,2842.5494651159693,2892.275748106252,2935.275040788695,2994.030546256482,3056.4681400985774,3116.0647822088313,3155.213058182911,3164.855209914804,3156.2493443638036,3116.905481993302,3085.8967755161398,3079.5985779416046,3094.498141676881,3119.8406797265948,3147.9822580868854,3185.0441987409263,3223.3641017618993,3251.4011214315037,3268.1608774510532,3274.620567230503,3257.133903057111,3222.0314341771214,3196.6089668160585,3196.3438966936114,3222.3037219716875,3250.4150065300473,3278.2068332441104,3312.721879686121,3349.029405319808,3375.252638260164,3379.656392469258,3365.0226644003583,3342.593186755025,3319.066595256111,3293.9824862337678,3289.2166637183814,3310.805032083966,3354.602715750254,3399.7375423455815,3435.3719977738097,3478.3187802197554,3511.099472274712,3535.74221729356,3524.4636128765214,3505.376889050245,3473.425572566876,3458.7918277943795,3463.106182137599,3491.796696525624,3532.4342522812344
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1608.841541583419,1618.3327138725556,1630.851527422823,1641.2254014051418,1652.1466845158293,1659.0213542172753,1666.47429479784,1672.577362312514,1680.1193423015573,1681.980898983422,1688.8026161747412,1693.6980035552297,1700.7697662746002,1703.724700289,1706.27289465577,1706.6240014695115,1706.4703592354183,1705.044005087929,1704.9460435981134,1701.5858826467731,1701.094449645077,1698.592003858935,1696.6304075374417,1690.3557131012487,1695.2592184884115,1700.798241892464,1712.2819483970495,1713.7698577896958,1717.4791777368728,1718.7338180447296,1719.5619504272556,1721.990451707666,1724.6524490716417,1728.858487417439,1728.0030634456916,1728.7112526701208,1730.8521200006105,1735.4619609960882,1740.4440461214278,1745.9477264594254,1749.5149213216628,1754.5634598024687,1758.0741071095288,1764.0503831195067,1767.3909059799494,1772.2044248650298,1773.5436721397894,1775.4673200949514,1775.6124854714592,1774.2574461781112,1777.3568803318021,1781.85221947692,1790.0008253349288,1793.5016298876283,1793.7050725590093,1794.32365680123,1795.4770452259595,1804.288975693393,1815.5882968809722,1824.8058637717747,1827.500377619779,1829.2892784104101,1829.330537240566,1820.2804104849702,1807.1025347315015,1800.9779207058218,1803.9761362575616,1804.6508002736807,1802.1142053309468,1806.3943285745063,1821.298976335683,1839.7011250559003,1863.105115542459,1896.887859512814,1933.4829810925446,1974.0121044781506,2016.2680403485142,2069.6876664933775,2135.1460288006297,2195.3836374293787,2252.2183290054527,2294.9594849411264,2340.24462097145,2391.6138096998593,2436.271103504922,2493.9539239093224,2546.1816259956618,2608.5231973210093,2655.4486304581037,2689.383453361956,2714.7311286574686,2725.6594237597947,2735.047847185659,2732.773164077298,2728.4896607859046,2727.823802689423,2729.008105271599,2736.6492670651173,2746.69964408686,2758.055780928543,2762.667086179888,2759.4858899110413,2755.3590843761162,2752.2557590832616,2750.2586211641433,2751.413077268612,2753.595193002426,2750.7268518656383,2751.8016690579148,2761.326597982149,2778.852401059131,2794.2252589432906,2803.91624401201,2807.8931604798145,2809.861926607478,2808.8913293620094,2810.7783478032675,2810.8186032129042,2807.539435634892,2806.0159774142057,2809.2751121558263,2816.7218612915617,2823.4767087043715,2827.615667627111,2835.4505479560057,2837.1319279321688,2835.415261245274,2823.433564749153,2815.2545024539154,2809.509628871505,2809.423668652954,2807.8416733279696,2805.8879975178056,2811.469519220117,2821.362989600315
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1028.535536121697,1030.3950369182878,1037.2521517136763,1051.9221147841208,1064.8003458687356,1074.1705330789925,1081.7537042345282,1084.5194598340195,1087.1960559313904,1086.9071258696708,1091.220639535321,1093.5460744425109,1097.5460921033148,1102.97481602779,1110.0288783450771,1120.3362939033032,1128.1870300175485,1139.3260465447195,1142.9257089138298,1146.5070183095759,1145.3645317749115,1151.7697125410573,1154.1261136073285,1158.6230630257164,1164.5784180900096,1168.6171946560926,1179.8983530811295,1187.277090088705,1201.1401075049162,1206.8309616764104,1211.524181003852,1211.02360429409,1210.8036224821537,1209.047345275967,1217.6573839305481,1221.0915764222939,1224.7301560190153,1229.8356566547386,1232.5078704456157,1237.2871475695326,1237.3035945957035,1249.682794156706,1255.543188345797,1258.6595726732558,1250.9432085151404,1252.041975549499,1254.2588085875223,1258.4188358793401,1263.9254813888947,1266.1769441544454,1275.2337718595215,1282.5175920204936,1291.028268744288,1302.6527134351518,1304.9978640295412,1307.9589394791017,1305.9505692443638,1305.1304492466554,1301.6837713370423,1295.7241515794249,1299.1391205379036,1304.6261392332142,1311.5708487271122,1310.0954024611729,1307.7649655145503,1307.1279401210304,1308.1835874829376,1310.3868833057456,1311.5776872263243,1313.9341146405006,1312.552464849388,1315.6109870138123,1321.085422151302,1333.7953749465148,1343.972119255167,1361.2977080685837,1382.2055913176246,1412.5030769122097,1444.4324008368678,1474.6766642665364,1496.74916608791,1508.087070844057,1515.6528493150404,1523.2542512445445,1535.8432903970247,1551.7736319955673,1563.9013860837981,1582.55071684858,1603.5616610206216,1636.5817365169082,1658.1307657817936,1665.8682248152127,1658.8858880420337,1642.0209547679642,1630.487839189987,1620.2208825570722,1617.8689529281696,1619.2323892200864,1628.9163695045104,1635.3669243023317,1642.448913662495,1645.944642351967,1652.4111833957938,1652.837277469442,1648.5436173552316,1639.7798628843086,1631.1360815531139,1621.4124943284573,1617.37884157684,1616.202181726382,1617.417759723379,1622.2675611310601,1627.8302646103039,1636.8274423457758,1643.1407701329151,1645.2589069180424,1640.8342134910804,1634.3026839733452,1628.423247734746,1622.8907554168463,1618.7278067155637,1620.2037123895147,1627.6267938469018,1638.7528863302578,1644.9595458559577,1649.137562422089,1648.0574549621588,1644.2567733064498,1639.1972869372544,1634.806030976226,1632.9332586987377,1627.4961424542923,1624.1124661355204,1625.7362621694888,1634.2057437507792
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1307.8592281053266,1311.9763401233258,1315.3589381633044,1322.624439450964,1328.6575674646833,1338.0162816615473,1347.706333752692,1353.6806664998041,1359.9428599142507,1366.8423652725687,1371.5137616337943,1375.954543331714,1375.356933801372,1384.4938227638718,1386.6406453456468,1387.8206188869867,1391.527432377308,1396.9583479007485,1408.5382879410863,1413.0456834465972,1425.7253251830691,1427.248754464443,1434.2950726166318,1431.7307691149576,1447.5664825710544,1456.9917965837865,1469.3887141855037,1478.9852665770807,1488.6618064784714,1500.016200182882,1506.5710194374694,1517.6782285330646,1524.2526572088059,1529.5371609078186,1533.6554061969864,1534.864518747308,1541.7154253880917,1551.8041675448335,1563.974645187913,1568.207546786103,1569.916857903971,1577.191482535364,1587.8235998725002,1598.66847100134,1609.0608957753152,1619.8897108777091,1626.1468339218932,1631.5299144782066,1631.7726135802661,1633.1635678238383,1641.2585941645855,1652.1705962716323,1663.8773305435393,1669.5865306735589,1678.9080555424773,1689.1761239439757,1694.0989305217483,1698.8255523942162,1701.3194183428802,1707.4823080077447,1711.3001298895797,1718.1612300547108,1721.6387402143755,1718.3512697691008,1714.4556818136327,1725.1229109906074,1746.1023948914317,1776.2290871700425,1801.8114759483472,1827.0982784040314,1847.2505394347604,1867.7001554409187,1891.6489861136633,1915.4834172217395,1941.3690709349255,1956.6560331286285,1990.2917821606004,2024.9211322945841,2076.8777749537826,2119.326804879542,2158.1588301163542,2176.9462917596506,2195.3634733665067,2198.1687513559746,2219.681431317974,2231.4930109379966,2264.636685713082,2289.4520844556932,2311.873972420319,2327.851977591826,2340.435807593758,2349.9146818693903,2356.2567250266034,2350.3406481369993,2339.694087154196,2331.7859785334067,2333.4640708946445,2342.399957204344,2353.4521256675234,2363.630762959954,2368.3926780995957,2366.3750952851865,2368.5485699381225,2379.9438794418024,2385.6146935904485,2398.0977237747916,2392.943419516513,2392.383893417359,2384.6472556357203,2399.3589011867134,2410.732568804267,2421.62428091749,2428.2695713435965,2432.1017224361894,2446.55363570827,2453.009143555571,2469.1036529288745,2467.377510746573,2463.841043129833,2466.7099139041106,2478.7199219525874,2486.697117321433,2487.0350213565657,2488.5678764040913,2499.4034604742847,2503.915248119946,2503.616423047746,2504.94316424135,2509.602576081991,2510.5744941580847,2509.9234282214275,2513.5061782853795,2521.4415036106097,2525.991955851201,2536.455562446699
