method,geoid,indicator,anchor_year,target_year,horizon,actual,projected,ci90_low,ci90_high,sample_se,forecast_se,abs_pct_err,in_ci
carry_forward,15009,B25058_001E,2021,2023,2,1666.00,1422.00,1274.00,1570.00,89.97,0.00,0.146459,0
carry_forward,15009,B25058_001E,2022,2024,2,1802.00,1464.00,1293.00,1635.00,103.95,0.00,0.187569,0
carry_forward,15001,B25064_001E,2015,2017,2,1107.00,1107.00,1059.00,1155.00,29.18,0.00,0.000000,1
carry_forward,15001,B25064_001E,2016,2018,2,1126.00,1170.00,1092.00,1248.00,47.42,0.00,0.039076,1
carry_forward,15001,B25064_001E,2017,2019,2,1215.00,1107.00,1027.00,1187.00,48.63,0.00,0.088889,0
carry_forward,15001,B25064_001E,2019,2021,2,1328.00,1215.00,1134.00,1296.00,49.24,0.00,0.085090,0
carry_forward,15001,B25064_001E,2021,2023,2,1492.00,1328.00,1236.00,1420.00,55.93,0.00,0.109920,0
carry_forward,15001,B25064_001E,2022,2024,2,1645.00,1292.00,1171.00,1413.00,73.56,0.00,0.214590,0
carry_forward,15003,B25064_001E,2015,2017,2,1712.00,1638.00,1591.00,1685.00,28.57,0.00,0.043224,0
carry_forward,15003,B25064_001E,2016,2018,2,1726.00,1621.00,1574.00,1668.00,28.57,0.00,0.060834,0
carry_forward,15003,B25064_001E,2017,2019,2,1774.00,1712.00,1671.00,1753.00,24.92,0.00,0.034949,0
carry_forward,15003,B25064_001E,2019,2021,2,1884.00,1774.00,1717.00,1831.00,34.65,0.00,0.058386,0
carry_forward,15003,B25064_001E,2021,2023,2,2033.00,1884.00,1838.00,1930.00,27.96,0.00,0.073291,0
carry_forward,15003,B25064_001E,2022,2024,2,2001.00,1914.00,1868.00,1960.00,27.96,0.00,0.043478,0
carry_forward,15007,B25064_001E,2015,2017,2,1416.00,1250.00,1126.00,1374.00,75.38,0.00,0.117232,0
carry_forward,15007,B25064_001E,2016,2018,2,1346.00,1388.00,1254.00,1522.00,81.46,0.00,0.031204,1
carry_forward,15007,B25064_001E,2017,2019,2,1326.00,1416.00,1275.00,1557.00,85.71,0.00,0.067873,1
carry_forward,15007,B25064_001E,2019,2021,2,1639.00,1326.00,1138.00,1514.00,114.29,0.00,0.190970,0
carry_forward,15007,B25064_001E,2021,2023,2,1816.00,1639.00,1313.00,1965.00,198.18,0.00,0.097467,1
carry_forward,15007,B25064_001E,2022,2024,2,1866.00,1847.00,1648.00,2046.00,120.97,0.00,0.010182,1
carry_forward,15009,B25064_001E,2015,2017,2,1421.00,1418.00,1348.00,1488.00,42.55,0.00,0.002111,1
carry_forward,15009,B25064_001E,2016,2018,2,1669.00,1254.00,1177.00,1331.00,46.81,0.00,0.248652,0
carry_forward,15009,B25064_001E,2017,2019,2,1615.00,1421.00,1342.00,1500.00,48.02,0.00,0.120124,0
carry_forward,15009,B25064_001E,2019,2021,2,1592.00,1615.00,1504.00,1726.00,67.48,0.00,0.014447,1
carry_forward,15009,B25064_001E,2021,2023,2,1828.00,1592.00,1460.00,1724.00,80.24,0.00,0.129103,0
